 ====== APC Propeller Static Thrust VS. RPM Predictions =======



                       105x45.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

      37000          3.28          1.42          2.42          0.11          0.12
      38000          3.57          1.78          2.95          0.13          0.12
      39000          3.80          2.18          3.52          0.15          0.13
      40000          4.01          2.27          3.57          0.14          0.13


                       5x5F.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.00          0.00          0.00          0.05          0.09
       2000          0.01          0.00          0.00          0.05          0.09
       3000          0.02          0.00          0.01          0.05          0.09
       4000          0.03          0.00          0.01          0.05          0.09
       5000          0.04          0.00          0.02          0.05          0.09
       6000          0.06          0.00          0.03          0.05          0.09
       7000          0.09          0.00          0.04          0.05          0.09
       8000          0.11          0.01          0.05          0.05          0.09
       9000          0.14          0.01          0.07          0.05          0.09
      10000          0.17          0.01          0.08          0.05          0.09
      11000          0.21          0.02          0.10          0.05          0.09
      12000          0.25          0.02          0.12          0.05          0.09
      13000          0.30          0.03          0.14          0.05          0.09
      13999          0.34          0.04          0.16          0.05          0.09
      15000          0.40          0.04          0.19          0.05          0.09
      16000          0.45          0.05          0.21          0.05          0.09
      17000          0.51          0.06          0.24          0.05          0.09
      18000          0.57          0.08          0.27          0.05          0.09
      19000          0.63          0.09          0.30          0.05          0.09
      20000          0.70          0.11          0.34          0.05          0.09
      21000          0.77          0.12          0.37          0.05          0.09
      22000          0.85          0.14          0.41          0.05          0.09
      23000          0.93          0.16          0.45          0.05          0.09
      24000          1.01          0.19          0.49          0.05          0.09
      25000          1.10          0.21          0.52          0.05          0.09
      26000          1.19          0.23          0.56          0.05          0.09
      26999          1.28          0.26          0.60          0.05          0.09
      28000          1.38          0.28          0.64          0.05          0.09
      29000          1.48          0.31          0.68          0.05          0.09
      30000          1.58          0.34          0.73          0.05          0.09
      31000          1.68          0.38          0.77          0.05          0.09
      32000          1.79          0.41          0.81          0.05          0.09
      33000          1.91          0.45          0.86          0.05          0.09
      34000          2.03          0.49          0.91          0.05          0.09
      35000          2.14          0.53          0.96          0.05          0.09
      36000          2.27          0.58          1.01          0.05          0.09
      37000          2.40          0.63          1.07          0.05          0.09
      38000          2.53          0.70          1.16          0.05          0.09


                       5x75E.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.00          0.00          0.00          0.10          0.15
       2000          0.01          0.00          0.01          0.10          0.15
       3000          0.03          0.00          0.01          0.10          0.15
       4000          0.05          0.00          0.03          0.10          0.15
       5000          0.08          0.00          0.04          0.10          0.15
       6000          0.11          0.00          0.06          0.10          0.15
       7000          0.15          0.01          0.08          0.10          0.15
       8000          0.19          0.01          0.10          0.10          0.15
       9000          0.25          0.02          0.12          0.10          0.15
      10000          0.30          0.02          0.15          0.10          0.15
      11000          0.37          0.03          0.19          0.10          0.15
      12000          0.44          0.04          0.22          0.10          0.15
      13000          0.51          0.05          0.26          0.10          0.15
      14000          0.60          0.07          0.30          0.10          0.15
      15000          0.68          0.08          0.35          0.10          0.15
      16000          0.78          0.10          0.40          0.10          0.15
      17000          0.88          0.12          0.45          0.10          0.15
      18000          0.98          0.14          0.49          0.10          0.15
      19000          1.09          0.16          0.54          0.09          0.15
      20000          1.20          0.19          0.58          0.09          0.15
      21000          1.32          0.21          0.63          0.09          0.15
      22000          1.44          0.24          0.69          0.09          0.15
      23000          1.57          0.27          0.74          0.09          0.15
      24000          1.70          0.31          0.81          0.09          0.15
      25000          1.84          0.36          0.90          0.09          0.15
      26000          1.98          0.40          0.98          0.09          0.15
      27000          2.13          0.44          1.02          0.09          0.15
      28000          2.28          0.48          1.09          0.09          0.15
      29000          2.45          0.56          1.21          0.09          0.15
      30000          2.62          0.62          1.30          0.09          0.15
      31000          2.78          0.84          1.71          0.11          0.15
      32000          2.91          1.24          2.45          0.15          0.14
      33000          3.12          1.27          2.43          0.14          0.14
      34000          3.30          1.50          2.79          0.15          0.14


                       63x4.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.01          0.00          0.00          0.06          0.12
       2000          0.02          0.00          0.01          0.06          0.12
       3000          0.05          0.00          0.02          0.06          0.12
       4000          0.10          0.00          0.04          0.06          0.12
       5000          0.15          0.00          0.07          0.06          0.12
       6000          0.22          0.01          0.10          0.06          0.12
       7000          0.30          0.02          0.13          0.06          0.12
       8000          0.39          0.02          0.17          0.06          0.12
       9000          0.49          0.03          0.22          0.06          0.12
      10000          0.61          0.04          0.27          0.06          0.12
      11000          0.73          0.06          0.33          0.06          0.12
      12000          0.87          0.07          0.39          0.06          0.12
      13000          1.03          0.09          0.45          0.06          0.12
      13999          1.19          0.12          0.52          0.05          0.12
      15000          1.37          0.14          0.59          0.05          0.12
      16000          1.56          0.17          0.66          0.05          0.13
      17000          1.76          0.20          0.74          0.05          0.13
      18000          1.98          0.23          0.82          0.05          0.13
      19000          2.20          0.28          0.92          0.05          0.13
      20000          2.46          0.36          1.13          0.06          0.13
      21000          2.73          0.46          1.38          0.06          0.13
      22000          3.02          0.58          1.65          0.07          0.13
      23000          3.32          0.72          1.97          0.08          0.13
      24000          3.64          0.89          2.33          0.08          0.13
      25000          3.98          1.09          2.75          0.09          0.13
      26000          4.34          1.33          3.22          0.10          0.13
      26999          4.72          1.62          3.78          0.11          0.13
      28000          5.12          1.98          4.46          0.12          0.13
      29000          5.56          2.51          5.45          0.13          0.14
      30000          6.05          3.35          7.04          0.16          0.14
      31000          6.56          4.52          9.18          0.20          0.14
      32000          7.05          5.28         10.39          0.21          0.14
      33000          7.60          6.76         12.90          0.25          0.14
      34000          7.92          6.14         11.37          0.20          0.14
      35000          8.55          8.29         14.93          0.25          0.14
      37000          9.33          8.32         14.18          0.21          0.14


                       65x29.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       2000          0.02          0.00          0.01          0.03          0.09
       3000          0.05          0.00          0.02          0.03          0.09
       4000          0.08          0.00          0.03          0.03          0.09
       5000          0.13          0.00          0.05          0.03          0.09
       6000          0.18          0.01          0.07          0.03          0.09
       7000          0.25          0.01          0.09          0.03          0.09
       8000          0.33          0.02          0.12          0.03          0.09
       9000          0.41          0.02          0.16          0.03          0.09
      10000          0.51          0.03          0.19          0.03          0.09
      11000          0.62          0.04          0.23          0.03          0.09
      12000          0.74          0.05          0.28          0.03          0.09
      13000          0.87          0.07          0.33          0.03          0.09
      13999          1.02          0.09          0.38          0.03          0.09
      15000          1.17          0.10          0.44          0.03          0.09
      16000          1.34          0.13          0.50          0.03          0.09
      17000          1.52          0.15          0.57          0.03          0.09
      18000          1.71          0.18          0.63          0.03          0.09
      19000          1.91          0.21          0.71          0.03          0.09
      20000          2.13          0.25          0.79          0.03          0.09
      21000          2.36          0.29          0.87          0.03          0.09
      22000          2.61          0.34          0.96          0.03          0.09
      23000          2.87          0.38          1.05          0.03          0.10
      24000          3.14          0.44          1.15          0.03          0.10
      25000          3.44          0.50          1.26          0.03          0.10
      26000          3.75          0.59          1.42          0.04          0.10
      26999          4.09          0.70          1.64          0.04          0.10
      28000          4.42          0.88          1.97          0.04          0.10
      29000          4.76          1.13          2.46          0.05          0.10
      30000          5.11          1.38          2.89          0.05          0.10
      31000          5.49          1.77          3.61          0.06          0.10
      32000          5.85          2.05          4.04          0.07          0.10
      33000          6.18          2.21          4.22          0.07          0.10
      34000          6.60          3.16          5.85          0.09          0.10
      35000          6.94          3.29          5.92          0.08          0.10


                       65x37.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       2000          0.02          0.00          0.01          0.04          0.10
       3000          0.05          0.00          0.02          0.04          0.10
       4000          0.09          0.00          0.04          0.04          0.10
       5000          0.14          0.00          0.06          0.04          0.10
       6000          0.20          0.01          0.09          0.04          0.10
       7000          0.27          0.01          0.12          0.04          0.10
       8000          0.36          0.02          0.15          0.04          0.10
       9000          0.45          0.03          0.19          0.04          0.10
      10000          0.56          0.04          0.24          0.04          0.10
      11000          0.68          0.05          0.29          0.04          0.10
      12000          0.81          0.07          0.35          0.04          0.10
      13000          0.95          0.09          0.41          0.04          0.10
      13999          1.10          0.11          0.48          0.04          0.10
      15000          1.27          0.13          0.55          0.04          0.10
      16000          1.44          0.16          0.62          0.04          0.10
      17000          1.63          0.19          0.70          0.04          0.10
      18000          1.83          0.22          0.77          0.04          0.10
      19000          2.04          0.26          0.86          0.04          0.10
      20000          2.27          0.30          0.94          0.04          0.10
      21000          2.50          0.34          1.03          0.04          0.10
      22000          2.75          0.40          1.13          0.04          0.10
      23000          3.01          0.45          1.23          0.04          0.10
      24000          3.28          0.51          1.33          0.04          0.10
      25000          3.57          0.59          1.49          0.04          0.10
      26000          3.88          0.75          1.82          0.05          0.10
      26999          4.22          0.96          2.24          0.05          0.10
      28000          4.57          1.30          2.92          0.06          0.10
      29000          4.94          1.74          3.78          0.08          0.10
      30000          5.32          2.14          4.49          0.08          0.10
      31000          5.75          2.89          5.88          0.10          0.11
      32000          6.13          3.16          6.23          0.10          0.11
      33000          6.50          3.36          6.42          0.10          0.10
      34000          7.06          5.33          9.89          0.15          0.11


                       65x50.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.01          0.00          0.00          0.05          0.10
       2000          0.02          0.00          0.01          0.05          0.10
       3000          0.05          0.00          0.03          0.05          0.10
       4000          0.09          0.00          0.05          0.05          0.10
       5000          0.14          0.01          0.08          0.05          0.10
       6000          0.21          0.01          0.11          0.05          0.10
       7000          0.28          0.02          0.15          0.05          0.10
       8000          0.37          0.03          0.20          0.05          0.10
       9000          0.47          0.04          0.25          0.05          0.10
      10000          0.58          0.05          0.31          0.05          0.10
      11000          0.70          0.07          0.38          0.05          0.10
      12000          0.84          0.09          0.45          0.05          0.10
      13000          0.98          0.11          0.53          0.05          0.10
      13999          1.14          0.14          0.62          0.05          0.10
      15000          1.31          0.17          0.71          0.05          0.10
      16000          1.49          0.20          0.79          0.05          0.10
      17000          1.68          0.24          0.88          0.05          0.10
      18000          1.88          0.28          0.97          0.05          0.10
      19000          2.09          0.32          1.07          0.05          0.10
      20000          2.32          0.37          1.17          0.05          0.10
      21000          2.55          0.42          1.27          0.05          0.10
      22000          2.80          0.48          1.38          0.05          0.10
      23000          3.06          0.54          1.49          0.05          0.10
      24000          3.33          0.61          1.60          0.05          0.10
      25000          3.63          0.81          2.04          0.06          0.10
      26000          3.97          1.12          2.73          0.07          0.10
      26999          4.35          1.69          3.95          0.09          0.10
      28000          4.73          2.26          5.09          0.11          0.11
      29000          5.13          2.83          6.16          0.12          0.11
      30000          5.59          3.93          8.26          0.16          0.11
      31000          5.93          3.74          7.61          0.13          0.11
      32000          6.54          5.93         11.67          0.19          0.11
      33000          6.96          6.30         12.02          0.19          0.11
      34000          7.30          5.66         10.50          0.15          0.11
      35000          7.90          7.37         13.27          0.18          0.11


                       65x55.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.01          0.00          0.00          0.06          0.10
       2000          0.02          0.00          0.01          0.06          0.10
       3000          0.05          0.00          0.03          0.06          0.10
       4000          0.09          0.00          0.05          0.06          0.10
       5000          0.14          0.01          0.08          0.06          0.10
       6000          0.21          0.01          0.12          0.06          0.10
       7000          0.28          0.02          0.16          0.06          0.10
       8000          0.37          0.03          0.21          0.06          0.10
       9000          0.47          0.04          0.27          0.06          0.10
      10000          0.58          0.05          0.33          0.06          0.10
      11000          0.70          0.07          0.40          0.06          0.10
      12000          0.84          0.09          0.48          0.06          0.10
      13000          0.98          0.12          0.56          0.06          0.10
      13999          1.14          0.15          0.66          0.06          0.10
      15000          1.31          0.18          0.75          0.06          0.10
      16000          1.49          0.21          0.83          0.06          0.10
      17000          1.68          0.25          0.93          0.05          0.10
      18000          1.88          0.29          1.02          0.05          0.10
      19000          2.09          0.34          1.12          0.05          0.10
      20000          2.32          0.39          1.22          0.05          0.10
      21000          2.55          0.44          1.33          0.05          0.10
      22000          2.80          0.50          1.44          0.05          0.10
      23000          3.06          0.56          1.55          0.05          0.10
      24000          3.33          0.63          1.66          0.05          0.10
      25000          3.64          0.86          2.17          0.06          0.10
      26000          3.98          1.22          2.96          0.07          0.10
      26999          4.37          1.88          4.39          0.10          0.11
      28000          4.77          2.52          5.68          0.12          0.11
      29000          5.17          3.14          6.82          0.14          0.11
      30000          5.66          4.38          9.21          0.17          0.11
      33000          7.05          6.94         13.26          0.21          0.11
      34000          7.39          6.33         11.73          0.17          0.11


                       65x60.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.01          0.00          0.00          0.06          0.10
       2000          0.02          0.00          0.01          0.06          0.10
       3000          0.05          0.00          0.03          0.06          0.10
       4000          0.09          0.00          0.06          0.06          0.10
       5000          0.15          0.01          0.09          0.06          0.10
       6000          0.21          0.01          0.12          0.06          0.10
       7000          0.29          0.02          0.17          0.06          0.10
       8000          0.37          0.03          0.22          0.06          0.10
       9000          0.47          0.04          0.28          0.06          0.10
      10000          0.58          0.06          0.34          0.06          0.10
      11000          0.70          0.07          0.42          0.06          0.10
      12000          0.84          0.09          0.50          0.06          0.10
      13000          0.99          0.12          0.59          0.06          0.10
      13999          1.14          0.15          0.69          0.06          0.10
      15000          1.31          0.19          0.78          0.06          0.10
      16000          1.49          0.22          0.87          0.06          0.10
      17000          1.68          0.26          0.96          0.06          0.10
      18000          1.88          0.30          1.06          0.06          0.10
      19000          2.10          0.35          1.16          0.05          0.10
      20000          2.32          0.40          1.26          0.05          0.10
      21000          2.56          0.46          1.37          0.05          0.10
      22000          2.80          0.52          1.48          0.05          0.10
      23000          3.06          0.58          1.59          0.05          0.10
      24000          3.33          0.65          1.71          0.05          0.10
      25000          3.65          0.90          2.27          0.06          0.10
      26000          4.00          1.30          3.14          0.08          0.10
      26999          4.39          2.01          4.70          0.11          0.11
      29000          5.21          3.42          7.43          0.15          0.11


                       65x65.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.01          0.00          0.00          0.06          0.10
       2000          0.02          0.00          0.01          0.06          0.10
       3000          0.05          0.00          0.03          0.06          0.10
       4000          0.09          0.00          0.06          0.06          0.10
       5000          0.15          0.01          0.09          0.06          0.10
       6000          0.21          0.01          0.13          0.06          0.10
       7000          0.29          0.02          0.18          0.06          0.10
       8000          0.37          0.03          0.23          0.06          0.10
       9000          0.47          0.04          0.29          0.06          0.10
      10000          0.58          0.06          0.36          0.06          0.10
      11000          0.71          0.08          0.44          0.06          0.10
      12000          0.84          0.10          0.52          0.06          0.10
      13000          0.99          0.13          0.62          0.06          0.10
      13999          1.14          0.16          0.72          0.06          0.10
      15000          1.31          0.19          0.82          0.06          0.10
      16000          1.49          0.23          0.91          0.06          0.10
      17000          1.68          0.27          1.01          0.06          0.10
      18000          1.88          0.32          1.11          0.06          0.10
      19000          2.10          0.37          1.21          0.06          0.10
      20000          2.32          0.42          1.32          0.06          0.10
      21000          2.56          0.47          1.43          0.06          0.10
      22000          2.80          0.54          1.54          0.05          0.10
      24000          3.33          0.68          1.77          0.05          0.10
      25000          3.65          0.95          2.39          0.06          0.10
      26000          4.01          1.39          3.36          0.08          0.10
      26999          4.42          2.20          5.13          0.12          0.11
      33000          7.24          8.23         15.73          0.25          0.12
      34000          7.55          7.37         13.66          0.20          0.11


                       6x2.dat                    

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.00          0.00          0.00          0.03          0.08
       2000          0.01          0.00          0.00          0.03          0.08
       3000          0.03          0.00          0.01          0.03          0.08
       4000          0.05          0.00          0.02          0.03          0.08
       5000          0.08          0.00          0.03          0.03          0.08
       6000          0.12          0.00          0.04          0.03          0.08
       7000          0.17          0.01          0.05          0.03          0.08
       8000          0.22          0.01          0.07          0.03          0.08
       9000          0.27          0.01          0.09          0.03          0.08
      10000          0.34          0.02          0.11          0.03          0.08
      11000          0.41          0.02          0.13          0.03          0.08
      12000          0.49          0.03          0.16          0.03          0.08
      13000          0.58          0.04          0.19          0.03          0.08
      13999          0.67          0.05          0.22          0.03          0.08
      15000          0.77          0.06          0.25          0.03          0.08
      16000          0.88          0.07          0.29          0.03          0.08
      17000          1.00          0.09          0.33          0.03          0.08
      18000          1.13          0.10          0.37          0.03          0.08
      19000          1.26          0.12          0.41          0.03          0.08
      20000          1.40          0.14          0.45          0.03          0.09
      21000          1.56          0.17          0.50          0.03          0.09
      22000          1.72          0.19          0.55          0.03          0.09
      23000          1.89          0.22          0.61          0.03          0.09
      24000          2.07          0.25          0.66          0.03          0.09
      25000          2.27          0.29          0.72          0.03          0.09
      26000          2.47          0.32          0.79          0.03          0.09
      26999          2.69          0.37          0.86          0.03          0.09
      28000          2.93          0.41          0.93          0.03          0.09
      29000          3.18          0.47          1.02          0.03          0.09
      30000          3.48          0.54          1.14          0.03          0.09
      31000          3.84          0.65          1.32          0.03          0.10
      32000          4.22          0.82          1.61          0.04          0.10
      33000          4.56          0.98          1.86          0.04          0.10
      34000          4.85          1.21          2.25          0.05          0.10
      35000          5.12          1.36          2.45          0.05          0.10
      36000          5.37          1.53          2.69          0.05          0.10
      37000          5.62          1.95          3.32          0.06          0.10
      38000          5.80          2.08          3.45          0.06          0.10


                       6x3.dat                    

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.00          0.00          0.00          0.04          0.10
       2000          0.02          0.00          0.01          0.04          0.10
       3000          0.04          0.00          0.02          0.04          0.10
       4000          0.07          0.00          0.03          0.04          0.10
       5000          0.10          0.00          0.04          0.04          0.10
       6000          0.15          0.01          0.06          0.04          0.10
       7000          0.20          0.01          0.08          0.04          0.10
       8000          0.26          0.01          0.10          0.04          0.10
       9000          0.34          0.02          0.13          0.04          0.10
      10000          0.41          0.03          0.16          0.04          0.10
      11000          0.50          0.04          0.20          0.04          0.10
      12000          0.60          0.05          0.24          0.04          0.10
      13000          0.70          0.06          0.28          0.04          0.10
      13999          0.82          0.07          0.32          0.04          0.10
      15000          0.94          0.09          0.37          0.04          0.10
      16000          1.07          0.11          0.43          0.04          0.10
      17000          1.21          0.13          0.49          0.04          0.10
      18000          1.36          0.16          0.54          0.04          0.10
      19000          1.52          0.18          0.60          0.04          0.10
      20000          1.68          0.21          0.66          0.04          0.10
      21000          1.86          0.24          0.73          0.04          0.10
      22000          2.05          0.28          0.80          0.04          0.10
      23000          2.24          0.32          0.87          0.04          0.10
      24000          2.44          0.36          0.94          0.04          0.10
      25000          2.66          0.41          1.02          0.04          0.10
      26000          2.88          0.46          1.11          0.04          0.10
      26999          3.12          0.51          1.19          0.04          0.10
      28000          3.37          0.57          1.29          0.04          0.10
      29000          3.63          0.71          1.54          0.05          0.10
      30000          3.91          0.94          1.97          0.06          0.11
      31000          4.20          1.22          2.48          0.07          0.11
      32000          4.50          1.53          3.01          0.07          0.11
      33000          4.80          1.78          3.39          0.08          0.11
      34000          5.14          2.31          4.29          0.09          0.11
      35000          5.42          2.61          4.69          0.10          0.11
      36000          5.68          2.70          4.73          0.09          0.11
      37000          5.90          3.12          5.32          0.10          0.10
      38000          6.38          4.54          7.54          0.13          0.11


                       6x3F.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.00          0.00          0.00          0.04          0.10
       2000          0.02          0.00          0.01          0.04          0.10
       3000          0.04          0.00          0.02          0.04          0.10
       4000          0.06          0.00          0.03          0.04          0.10
       5000          0.10          0.00          0.04          0.04          0.10
       6000          0.14          0.01          0.06          0.04          0.10
       7000          0.19          0.01          0.08          0.04          0.10
       8000          0.25          0.01          0.11          0.04          0.10
       9000          0.32          0.02          0.14          0.04          0.10
      10000          0.40          0.03          0.17          0.04          0.10
      11000          0.48          0.04          0.21          0.04          0.10
      12000          0.57          0.05          0.25          0.04          0.10
      13000          0.67          0.06          0.29          0.04          0.10
      13999          0.78          0.08          0.34          0.04          0.10
      15000          0.89          0.09          0.39          0.04          0.10
      16000          1.02          0.11          0.44          0.04          0.10
      17000          1.15          0.13          0.50          0.04          0.10
      18000          1.29          0.16          0.55          0.04          0.10
      19000          1.44          0.19          0.61          0.04          0.10
      20000          1.60          0.21          0.68          0.04          0.10
      21000          1.76          0.25          0.74          0.04          0.10
      22000          1.94          0.28          0.81          0.04          0.10
      23000          2.12          0.32          0.88          0.04          0.10
      24000          2.31          0.36          0.95          0.04          0.10
      25000          2.51          0.41          1.03          0.04          0.10
      26000          2.71          0.46          1.11          0.04          0.10
      26999          2.94          0.55          1.27          0.04          0.10
      28000          3.18          0.68          1.53          0.05          0.10
      29000          3.43          0.85          1.84          0.06          0.10
      30000          3.69          1.05          2.20          0.06          0.10
      31000          3.97          1.31          2.67          0.07          0.10
      32000          4.27          1.79          3.52          0.09          0.10
      33000          4.61          2.64          5.04          0.12          0.10
      34000          4.91          2.89          5.36          0.12          0.10
      36000          5.56          3.87          6.78          0.13          0.10
      37000          5.81          3.71          6.32          0.12          0.10
      38000          6.24          5.33          8.83          0.16          0.10


                       6x3R-RH.dat                

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       2000          0.01          0.00          0.00          0.02          0.06
       3000          0.02          0.00          0.01          0.02          0.06
       4000          0.04          0.00          0.02          0.03          0.07
       5000          0.07          0.00          0.03          0.03          0.07
       6000          0.10          0.00          0.04          0.03          0.07
       7000          0.14          0.01          0.06          0.03          0.07
       8000          0.18          0.01          0.08          0.03          0.07
       9000          0.22          0.01          0.09          0.03          0.06
      10000          0.27          0.02          0.11          0.03          0.06
      11000          0.33          0.02          0.14          0.03          0.07
      12000          0.39          0.03          0.16          0.03          0.07
      13000          0.45          0.04          0.19          0.03          0.06
      14000          0.53          0.05          0.22          0.03          0.06
      15000          0.60          0.06          0.25          0.03          0.06
      16000          0.67          0.07          0.27          0.03          0.06
      17000          0.74          0.08          0.29          0.03          0.06
      18000          0.82          0.09          0.32          0.02          0.06
      19000          0.91          0.10          0.35          0.02          0.06
      20000          0.97          0.12          0.36          0.02          0.06
      21000          1.05          0.13          0.39          0.02          0.06
      22000          1.11          0.14          0.42          0.02          0.06
      23000          1.21          0.17          0.47          0.02          0.06
      24000          1.35          0.20          0.51          0.02          0.06
      25000          1.42          0.22          0.55          0.02          0.06
      26000          1.54          0.25          0.59          0.02          0.06
      27000          1.66          0.27          0.64          0.02          0.06
      28000          1.79          0.30          0.67          0.02          0.06
      29000          1.95          0.34          0.73          0.02          0.06
      30000          2.04          0.36          0.76          0.02          0.06
      31000          2.18          0.40          0.81          0.02          0.05
      32000          2.32          0.44          0.87          0.02          0.05
      33000          2.46          0.48          0.92          0.02          0.05
      34000          2.62          0.52          0.96          0.02          0.05
      35000          2.76          0.55          1.00          0.02          0.05
      36000          2.91          0.59          1.03          0.02          0.05
      37000          3.09          0.62          1.06          0.02          0.05
      38000          3.25          0.67          1.11          0.02          0.05
      39000          3.42          0.73          1.17          0.02          0.05
      40000          3.59          0.80          1.26          0.02          0.05
      41000          3.77          0.86          1.32          0.02          0.05
      42000          3.96          0.89          1.34          0.02          0.05


                       6x4.dat                    

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.00          0.00          0.00          0.06          0.12
       2000          0.02          0.00          0.01          0.06          0.12
       3000          0.04          0.00          0.02          0.05          0.12
       4000          0.08          0.00          0.04          0.06          0.12
       5000          0.12          0.00          0.05          0.06          0.12
       6000          0.17          0.01          0.08          0.06          0.12
       7000          0.24          0.01          0.11          0.06          0.12
       8000          0.31          0.02          0.14          0.06          0.12
       9000          0.39          0.03          0.18          0.06          0.12
      10000          0.48          0.04          0.22          0.06          0.12
      11000          0.58          0.05          0.26          0.06          0.12
      12000          0.69          0.06          0.32          0.06          0.12
      13000          0.82          0.08          0.37          0.06          0.12
      13999          0.95          0.10          0.43          0.06          0.12
      15000          1.09          0.12          0.49          0.06          0.12
      16000          1.24          0.14          0.55          0.05          0.12
      17000          1.40          0.17          0.62          0.05          0.12
      18000          1.57          0.20          0.69          0.05          0.12
      19000          1.75          0.23          0.76          0.05          0.12
      20000          1.94          0.26          0.83          0.05          0.12
      21000          2.13          0.30          0.91          0.05          0.12
      22000          2.34          0.35          0.99          0.05          0.12
      23000          2.56          0.39          1.08          0.05          0.12
      24000          2.80          0.48          1.26          0.06          0.12
      25000          3.06          0.61          1.54          0.06          0.12
      26000          3.33          0.77          1.86          0.07          0.12
      26999          3.61          0.96          2.23          0.08          0.12
      28000          3.91          1.18          2.67          0.09          0.12
      29000          4.22          1.48          3.22          0.10          0.12
      30000          4.57          1.99          4.18          0.12          0.12
      31000          4.93          2.55          5.17          0.14          0.12
      32000          5.33          3.37          6.64          0.16          0.13
      33000          5.66          3.43          6.56          0.15          0.13
      34000          6.16          5.08          9.41          0.21          0.13
      36000          6.85          5.34          9.36          0.18          0.13
      37000          7.45          7.74         13.18          0.24          0.13


                       6x42E-3.dat                

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.01          0.00          0.00          0.10          0.20
       2000          0.03          0.00          0.02          0.10          0.20
       3000          0.07          0.00          0.04          0.10          0.20
       4000          0.13          0.00          0.06          0.10          0.20
       5000          0.20          0.01          0.10          0.10          0.20
       6000          0.29          0.01          0.14          0.10          0.20
       7000          0.40          0.02          0.20          0.10          0.20
       8000          0.52          0.03          0.26          0.10          0.20
       9000          0.66          0.05          0.33          0.10          0.20
      10000          0.81          0.06          0.41          0.10          0.20
      11000          0.99          0.09          0.49          0.10          0.20
      12000          1.17          0.11          0.59          0.10          0.20
      13000          1.38          0.14          0.69          0.10          0.20
      14000          1.60          0.18          0.80          0.10          0.20
      15000          1.84          0.22          0.91          0.10          0.20
      16000          2.10          0.26          1.02          0.10          0.20
      17000          2.38          0.31          1.13          0.10          0.20
      18000          2.66          0.36          1.27          0.10          0.20
      19000          2.98          0.42          1.40          0.10          0.20
      20000          3.30          0.49          1.54          0.10          0.20
      21000          3.64          0.56          1.70          0.10          0.20
      22000          4.01          0.65          1.86          0.10          0.20
      23000          4.41          0.75          2.05          0.10          0.20
