 ====== APC Propeller Static Thrust VS. RPM Predictions =======



                       105x45.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       7000          1.89          0.14          1.23          0.05          0.12
       8000          2.47          0.20          1.58          0.05          0.12
       9000          3.16          0.33          2.31          0.06          0.12
      10000          3.95          0.52          3.26          0.06          0.12
      11000          4.84          0.77          4.43          0.07          0.13
      12000          5.83          1.12          5.86          0.08          0.13
      13000          6.93          1.57          7.62          0.09          0.13
      13999          8.14          2.17          9.76          0.10          0.13
      15000          9.46          2.93         12.31          0.11          0.13
      16000         10.90          3.90         15.37          0.12          0.13
      17000         12.27          4.50         16.70          0.11          0.13
      18000         13.73          5.16         18.07          0.11          0.13
      19000         15.33          6.27         20.79          0.11          0.13
      20000         17.02          8.22         25.92          0.13          0.13
      23000         21.31          6.93         18.98          0.07          0.13


                       10x58EP(F2B).dat           

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.04          0.00          0.03          0.05          0.12
       2000          0.15          0.00          0.10          0.05          0.12
       3000          0.33          0.01          0.22          0.05          0.12
       4000          0.59          0.03          0.40          0.05          0.12
       5000          0.92          0.05          0.62          0.05          0.12
       6000          1.33          0.08          0.88          0.05          0.12
       7000          1.80          0.13          1.17          0.05          0.12
       8000          2.36          0.19          1.51          0.05          0.12
       9000          3.00          0.28          1.97          0.05          0.12
      10000          3.75          0.44          2.81          0.06          0.12
      11000          4.59          0.67          3.85          0.06          0.12
      12000          5.52          0.98          5.13          0.07          0.12
      13000          6.55          1.39          6.74          0.08          0.12
      13999          7.68          1.92          8.66          0.09          0.12
      15000          8.91          2.63         11.05          0.10          0.12
      16000         10.26          3.55         13.98          0.11          0.13
      17000         11.72          4.76         17.66          0.12          0.13
      18000         13.21          5.92         20.73          0.13          0.13
      19000         14.87          8.90         29.51          0.16          0.13
      20000         16.36          9.87         31.11          0.15          0.13
      22000         19.01          8.68         24.86          0.10          0.12
      23000         20.51          8.86         24.28          0.09          0.12


                       10x5E.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.03          0.00          0.02          0.04          0.11
       2000          0.14          0.00          0.08          0.04          0.11
       3000          0.30          0.01          0.19          0.04          0.11
       4000          0.54          0.02          0.34          0.04          0.11
       5000          0.85          0.04          0.53          0.04          0.11
       6000          1.22          0.07          0.75          0.04          0.11
       7000          1.67          0.11          1.01          0.04          0.11
       8000          2.18          0.17          1.30          0.04          0.11
       9000          2.78          0.23          1.64          0.04          0.11
      10000          3.47          0.35          2.20          0.04          0.11
      11000          4.24          0.50          2.86          0.05          0.11
      12000          5.11          0.70          3.66          0.05          0.11
      13000          6.08          0.96          4.63          0.05          0.11
      13999          7.15          1.29          5.80          0.06          0.11
      15000          8.33          1.72          7.22          0.06          0.12
      16000          9.62          2.28          8.98          0.07          0.12
      17000         11.01          3.02         11.19          0.08          0.12
      18000         12.51          3.97         13.91          0.08          0.12
      19000         14.17          5.95         19.74          0.11          0.12
      20000         15.72          7.47         23.52          0.12          0.12
      21000         17.28          9.05         27.17          0.12          0.12


                       10x6-4.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.06          0.00          0.04          0.08          0.17
       2000          0.22          0.00          0.17          0.08          0.17
       3000          0.50          0.02          0.38          0.08          0.17
       4000          0.89          0.04          0.68          0.08          0.17
       5000          1.39          0.09          1.07          0.08          0.17
       6000          2.00          0.15          1.54          0.08          0.17
       7000          2.73          0.23          2.05          0.08          0.17
       8000          3.57          0.34          2.64          0.08          0.18
       9000          4.54          0.47          3.31          0.08          0.18
      10000          5.63          0.66          4.14          0.08          0.18
      11000          6.91          0.98          5.63          0.09          0.18
      12000          8.33          1.42          7.45          0.10          0.18
      13000          9.92          1.99          9.64          0.11          0.18
      13999         11.67          2.73         12.28          0.12          0.19
      15000         13.61          3.69         15.49          0.14          0.19
      16000         15.74          4.93         19.44          0.15          0.19
      17000         18.13          6.60         24.48          0.17          0.20
      18000         20.90          9.47         33.15          0.20          0.20
      19000         24.02         15.76         52.26          0.29          0.21
      21000         28.95         20.39         61.18          0.27          0.21
      22000         31.58         26.11         74.80          0.30          0.20


                       10x6.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.04          0.00          0.03          0.05          0.12
       2000          0.15          0.00          0.10          0.05          0.12
       3000          0.33          0.01          0.24          0.05          0.12
       4000          0.59          0.03          0.42          0.05          0.12
       5000          0.93          0.05          0.65          0.05          0.12
       6000          1.34          0.09          0.91          0.05          0.12
       7000          1.82          0.13          1.20          0.05          0.12
